시설명,주소,운영기간,전화번호,참여방법
딴산 유아숲체험원,강원특별자치도 화천군 화천읍 대이리 산1-1,2025-03~2025-11,033-240-9942,전화/방문/공문
화백나무 유아숲체험원,강원특별자치도 횡성군 공근면 초원리 산1,2025-03~2025-11,033-439-5547,전화/방문/공문
청량산 나비 유아숲체험원,인천광역시 연수구 청학동 산57,2025-03~2025-12,02-3299-4561,전화
용산 유아숲체험원,서울특별시 용산구 용산동 5가 14 외 3,2025-03~2025-12,02-3299-4561,전화
소나무누리 유아숲체험원,강원특별자치도 강릉시 성산면 어흘리 산1-26,2025-02~2025-12,033-660-7723,전화/방문/공문
경포솔내음 유아숲체험원,강원특별자치도 강릉시 안현동 산82,2025-02~2025-12,033-660-7723,전화/방문/공문
고성산 유아숲체험원,강원특별자치도 고성군 간성읍 탑동리 산72-1,2025-02~2025-12,033-670-3062,전화/방문/공문
노고지리 유아숲체험원,강원특별자치도 동해시 망상동 산71,2025-03~2025-11,033-570-5210,전화
삼척동자 유아숲체험원,강원특별자치도 삼척시 미로면 하사전리 산43,2025-02~2025-12,033-570-5233,전화/방문/공문
어성전 유아숲체험원,강원특별자치도 양양군 현북면 어성전리 산2,2025-02~2025-12,033-670-3062,전화/방문/공문
태화산 유아숲체험원　,강원특별자치도 영월군 영월읍 팔괴리 산31,2025-02~2025-12,033-371-8135,전화/방문/공문
아리 유아숲체험원,강원특별자치도 정선군 고한읍 고한리 산1-300,2025-03~2025-11,033-560-5510,전화
단곡 유아숲체험원,강원특별자치도 정선군 신동읍 방제리 산87-144,2025-02~2025-12,033-560-5533,전화/방문/공문
태붐 유아숲체험원,강원특별자치도 태백시 동점동 산1-18,2025-02~2025-12,033-550-9934,전화/방문/공문
연화산 유아숲체험원,강원특별자치도 태백시 백산동 산53,2025-02~2025-12,033-550-9934,전화/방문/공문
대관령 유아숲체험원,강원특별자치도 평창군 대관령면 횡계리 14-84,2025-02~2025-12,033-330-4032,전화/방문/공문
장산 유아숲체험원,부산광역시 해운대구 좌동 산1-144,2025-03~2025-11,051-784-8104,전화/방문/공문
녹수 유아숲체험원,울산광역시 동구 서부동 산135-6,2025-03~2025-11,051-784-8104,전화/방문/공문
금오산 유아숲체험원,경상북도 구미시 남통동 산33,2025-03~2025-11,054-712-4143,전화/방문/공문
김천 유아숲체험원,경상북도 김천시 지례면 울곡리 산175,2025-03~2025-11,054-712-4143,전화/방문/공문
꿈틀이 유아숲체험원,경상북도 문경시 문경읍 마원리 산46-1,2025-03~2025-11,054-630-4038,전화/방문/공문
까투리 유아숲체험원,경상북도 안동시 일직면 용각리 산103, 25년 미운영,054-630-4038, 25년 미운영
수비솔솔 유아숲체험원,경상북도 영양군 수비면 신원리 산23,2025-03~2025-11,054-730-8154,전화/방문/공문
영주청사초록 유아숲체험원,경상북도 영주시 가흥동 산8-20,2025-03~2025-11,054-630-4038,전화/방문/공문
영천별빛 유아숲체험원,경상북도 영천시 망정동 산14-5,2025-03~2025-11,054-730-8154,전화/방문/공문
흑응산성참참참 유아숲체험원,경상북도 예천군 예천읍 노상리 산3-1,2025-03~2025-11,054-630-4038,전화/방문/공문
청도 유아숲체험원,경상북도 청도군 각북면 남산리 산66,2025-03~2025-11,054-712-4143,전화/방문/공문
솔바람 유아숲체험원,경상북도 포항시 북구 장성동 산92-1,2025-03~2025-11,054-730-8154,전화/방문/공문
대청 유아숲체험원,경상남도 김해시 대청동 산112-15,2025-03~2025-11,051-784-8104,전화/방문/공문
진해 유아숲체험원,경상남도 창원시 진해구 자은동 산1-28,2025-03~2025-11,051-784-8104,전화/방문/공문
함안가야 유아숲체험원,경상남도 함안군 가야읍 혈곡리 산180,2025-03~2025-11,051-784-8104,전화/방문/공문
승학산 유아숲체험원,부산광역시 사하구 당리동 산14-2 외 3필,2025-03~2025-11,051-784-8104,전화/방문/공문
울진 유아숲체험원,경상북도 울진군 울진읍 읍내리 262, 25년 미운영,051-780-3953, 25년 미운영
계룡산 유아숲체험원,경상남도 거제시 장평동 산100,2025-03~2025-11,055-960-2532,전화/방문/공문
미륵산 유아숲체험원,경상남도 통영시 도남동 산107,2025-03~2025-11,055-960-2532,전화/방문/공문
지리산 유아숲체험원,경상남도 함양군 함양읍 죽림리 산364,2025-03~2025-11,055-960-2532,전화/방문/공문
송산물빛 유아숲체험원,광주광역시 광산구 지평동 산27,2025-03~2025-11,062-670-5412,전화/방문/공문
통매산 유아숲체험원,전북특별자치도 군산시 조촌동 237-11,2025-03~2025-11,063-570-1934,전화/방문/공문
춘향골 유아숲체험원,전북특별자치도 남원시 산동면 목동리 산97-3,2025-03~2025-11,063-620-4642,전화/방문/공문
덕유산 유아숲체험원,전북특별자치도 무주군 무풍면 삼거리 산43-1,2025-03~2025-11,063-320-3641,전화/방문/공문
완산칠봉 유아숲체험원,전북특별자치도 전주시 완산구 효자동1가 산154-2,2025-03~2025-11,063-570-1934,전화/방문/공문
금성산 유아숲체험원,전라남도 나주시 경현동 산1-6,2025-03~2025-11,062-670-5412,전화/방문/공문
배꽃향기 유아숲체험원,전라남도 나주시 남평읍 풍림리 산50-1,2025-03~2025-11,062-670-5412,전화/방문/공문
봉화산 유아숲체험원,전라남도 순천시 용당동 산50,2025-03~2025-12,061-740-9333,전화/방문/공문
억불산 유아숲체험원,전라남도 장흥군 장흥읍 우산리 산61,2025-03~2025-11,062-670-5412,전화
알프스 유아숲체험원,전라남도 화순군 화순읍 유천리 산24,2025-03~2025-11,061-740-9333,전화/방문/공문
솔마리 유아숲체험원,제주특별자치도 서귀포시 남원읍 하례리 산82,2025-03~2025-11,063-620-4642,전화
봉성산 유아숲체험원,전남남도 구례군 구례읍 봉서리 산10,2025-03~2025-11,061-740-9333,전화/방문/공문
구암 유아숲체험원,대전광역시 유성구 구암동 산21-44,2025-03~2025-11,041-622-5437,전화/방문/공문
봉정나래 유아숲체험원,충청남도 공주시 봉정동 산73,2025-03~2025-11,041-622-5437,전화/방문/공문
부여 유아숲체험원,충청남도 부여군 규암면 외리 195-10,2025-03~2025-11,041-622-5437,전화/방문/공문
용화 유아숲체험원,충청남도 아산시 용화동 산61-43,2025-03~2025-11,041-622-5437,전화/방문/공문
예산 유아숲체험원,충청남도 예산군 예산읍 석양리 산22,2025-03~2025-11,041-622-5437,전화/방문/공문
홍성남산 유아숲체험원,충청남도 홍성군 홍성읍 남장리 산48,2025-03~2025-11,041-622-5437,전화/방문/공문
솔솔솔 도토리숲 유아숲체험원,충청북도 단양군 단양읍 도담리 산4-29,2025-03~2025-11,043-420-0343,전화/방문/공문
솔솔솔다람쥐숲 유아숲체험원,충청북도 제천시 고암동 산117,2025-03~2025-11,043-420-0343,전화/방문/공문
용정 유아숲체험원,충청북도 청주시 상당구 용정동 241-2,2025-03~2025-11,043-540-7072,전화/방문/공문
구룡 유아숲체험원,충청북도 청주시 서원구 성화동 80-5,2025-03~2025-11,043-540-7072,전화/방문/공문
목벌누리 유아숲체험원,충청북도 충주시 목벌동 산20-1,2025-03~2025-11,043-850-0336,전화/방문/공문
심항산 유아숲체험원,충청북도 충주시 종민동 산71,2025-03~2025-11,043-850-0336,전화/방문/공문
국립세종수목원 유아숲체험원,세종특별자치시 연기면 수목원로 212-24,2025-03~2025-11,044-251-0002,공문/홈페이지
미호동 유아숲체험원,대전광역시 대덕구 미호동 423-3,2025-03~2025-11,041-622-5437,전화/방문/공문
수안보 유아숲체험원,충청북도 충주시 수안보면 수회리 산39-1,2025-03~2025-12,043-850-3334,전화/공문/이메일
방장산자연휴양림 유아숲체험원,전라남도 장성군 북이면 방장로 353,2025-03~2025-11,061-394-5523,전화
상당산성자연휴양림 유아숲체험원,충청북도 청주시 청원구 내수읍 덕암2길 162,2025-03~2025-11,043-216-0052,우편/방문
용현자연휴양림 유아숲체험원,충청남도 서산시 운산면 마애삼존불길 339,2025-03~2025-11,041-664-1971,팩스/방문
봄내 유아숲체험원,강원특별자치도 춘천시 신북읍 발산리 산32-1,2025-03~2025-11,033-260-5800,전화
꿈드림 유아숲체험원,강원특별자치도 횡성군 둔내면 삽교리 1767,2025-03~2025-11,033-340-6352,전화
아이좋아 유아숲체험원,대전광역시 유성구 성북로 154번길 748,연중,042-718-1503,전화
토리 유아숲체험원,경상북도 칠곡군 석적읍 유학로 532,2025-03~2025-11,054-977-7140,온라인/전화
백석 유아숲체험원,서울특별시 서초구 방배동 산84-1,2025-04~2025-12,02-520-0632,백석유아숲체험원 홈페이지
오동 유아숲체험원,서울특별시 강북구 번동 산17-10,2025-03~2025-11,02-901-6954,구청 홈페이지
청룡산 유아숲체험원,서울특별시 관악구 봉천동 산175-48,2025-03~2025-11,02-879-6513,구청 홈페이지
개미 유아숲체험원,서울특별시 금천구 독산3동 산89-7,2025-03~2025-11,02-2627-1664,구청 홈페이지
매봉산 유아숲체험원,서울특별시 마포구 성산동 670,2025-03~2025-11,02-3153-9576,구청 홈페이지
인왕산 유아숲체험원,서울특별시 서대문구 홍제동 산1-168,2025-03~2025-11,02-330-1544,구청 홈페이지
대현산 유아숲체험원,서울특별시 성동구 금호동1가 산37-1,2025-03~2025-11,02-2286-5674,구청 홈페이지
오동근린공원 유아숲체험원,서울특별시 성북구 하월곡동 산2-1,2025-03~2025-11,02-2241-3733,구청 홈페이지
갈산공원 유아숲체험원,서울특별시 양천구 신정동 163-55,2025-03~2025-11,02-2620-3586,구청 홈페이지
계남제1공원(신정산) 유아숲체험원,서울특별시 양천구 신정동 521,2025-03~2025-11,02-2620-3586,구청 홈페이지
온수공원(매봉산) 유아숲체험원,서울특별시 양천구 신정동 814,2025-03~2025-11,02-2620-3586,구청 홈페이지
사가정공원 유아숲체험원,서울특별시 중랑구 면목동 산1-9,2025-03~2025-11,02-2094-2394,구청 홈페이지
대모산 유아숲체험원,서울특별시 강남구 일원동 436-6,2025-03~2025-12,02-3423-6254,구청 홈페이지
해찬솔 유아숲체험원,서울특별시 강남구 자곡동 690,2025-03~2025-12,02-3423-6254,구청 홈페이지
일자산공원 유아숲체험원,서울특별시 강동구 둔촌동 산102-4,2025-03~2025-12,02-3425-6452,구청 홈페이지
명일공원 유아숲체험원,서울특별시 강동구 상일동 산26-1,2025-03~2025-12,02-3425-6452,구청 홈페이지
북한산 유아숲체험원,서울특별시 강북구 미아동 산108-19,2025-03~2025-12,02-901-6954,구청 홈페이지
오패산 유아숲체험원,서울특별시 강북구 번동 산20-6,2025-03~2025-12,02-901-6954,구청 홈페이지
영어마을 유아숲체험원,서울특별시 강북구 수유동 산84-1,25년 미운영,25년 미운영,구청 홈페이지
꿩고개 유아숲체험원,서울특별시 강서구 방화3동 산136-6,2025-03~2025-12,02-2600-4289,구청 홈페이지
봉제산 유아숲체험원,서울특별시 강서구 화곡본동 산41-6,2025-03~2025-12,02-2600-4289,구청 홈페이지
선우지구 유아숲체험원,서울특별시 관악구 미성동 산117-1,2025-03~2025-12,02-879-6513,구청 홈페이지
당곡 유아숲체험원,서울특별시 관악구 보라매동 산133-20,2025-03~2025-12,02-879-6513,구청 홈페이지
낙성대지구 유아숲체험원,서울특별시 관악구 봉천동 산25,2025-03~2025-12,02-879-6513,구청 홈페이지
관악산(인헌동) 유아숲체험원,서울특별시 관악구 봉천동 산29-4,2025-03~2025-12,02-879-6513,구청 홈페이지
관악산(대헌동) 유아숲체험원,서울특별시 관악구 신림동 산63-1,2025-03~2025-12,02-879-6513,구청 홈페이지
삼성동 유아숲체험원,서울특별시 관악구 신림동 산68-2,2025-03~2025-12,02-879-6513,구청 홈페이지
아차산어울림 유아숲체험원,서울특별시 광진구 광장동 5-125,2025-03~2025-12,02-450-7849,구청 홈페이지
아차산 유아숲체험원,서울특별시 광진구 중곡동 143-146,2025-03~2025-12,02-450-7849,구청 홈페이지
잣절 유아숲체험원,서울특별시 구로구 개봉동 45-2,2025-03~2025-12,02-860-2914,구청 홈페이지
개웅산 유아숲체험원,서울특별시 구로구 개봉동 산53-3,2025-03~2025-12,02-860-2914,구청 홈페이지
개웃개웃 유아숲체험원,서울특별시 구로구 개봉동 산53-3,2025-03~2025-12,02-860-2914,구청 홈페이지
능골산 유아숲체험원,서울특별시 구로구 고척동 산8,2025-03~2025-12,02-860-2914,구청 홈페이지
베짱이 유아숲체험원,서울특별시 금천구 독산4동 산198-4,2025-03~2025-12,02-2627-1664,구청 홈페이지
태릉 유아숲체험원,서울특별시 노원구 공릉동 산223-1,2025-03~2025-12,02-2116-0546,구청 홈페이지
수락산 유아숲체험원,서울특별시 노원구 상계동 산155-1,2025-03~2025-12,02-2116-0546,구청 홈페이지
영축산 유아숲체험원,서울특별시 노원구 월계동 산130,2025-03~2025-12,02-2116-0546,구청 홈페이지
불암산 유아숲체험원,서울특별시 노원구 중계동 산95-5,2025-03~2025-12,02-2116-0546,구청 홈페이지
답십리근린공원 유아숲체험원,서울특별시 동대문구 답십리동 2-299,2025-03~2025-12,02-2127-4609,구청 홈페이지
홍릉근린공원 유아숲체험원,서울특별시 동대문구 청량리동 산1-143,2025-03~2025-12,02-2127-4609,구청 홈페이지
배봉산근린공원 유아숲체험원,서울특별시 동대문구 휘경동 산6-82,2025-03~2025-12,02-2127-4609,구청 홈페이지
보라매공원 유아숲체험원,서울특별시 동작구 여의대방로20길 33,2025-03~2025-12,02-300-5574,서울시청 홈페이지
상도공원 유아숲체험원,서울특별시 동작구 상도동 533-3,2025-03~2025-12,02-820-1395,구청 홈페이지
현충공원 유아숲체험원,서울특별시 동작구 상도동 산49-36,2025-03~2025-12,02-820-1395,구청 홈페이지
상암산 유아숲체험원,서울특별시 마포구 상암동 1761,2025-03~2025-12,02-3153-9576,구청 홈페이지
백련공원 유아숲체험원,서울특별시 서대문구 홍은동 산19-19,2025-03~2025-12,02-330-1544,구청 홈페이지
월드컵공원 유아숲체험원,서울특별시 마포구 상암동 1538,2025-03~2025-12,02-300-5574,서울시청 홈페이지
방배근린공원 유아숲체험원,서울특별시 서초구 방배동 산44,2025-03~2025-12,02-2155-6873,구청 홈페이지
우면산 유아숲체험원,서울특별시 서초구 서초동 산36-6,2025-03~2025-12,02-2155-6873,구청 홈페이지
문화예술공원 유아숲체험원,서울특별시 서초구 양재동 200,2025-03~2025-12,02-2155-6873,구청 홈페이지
금호산 유아숲체험원,서울특별시 성동구 금호3가동 산2-1,2025-03~2025-12,02-2286-5674,구청 홈페이지
서울숲공원 유아숲체험원,서울특별시 성동구 뚝섬로 273,2025-03~2025-12,02-460-2941,서울시청 홈페이지
매봉산 유아숲체험원,서울특별시 성동구 옥수동 436-9,2025-03~2025-12,02-2286-5674,구청 홈페이지
개운산 유아숲체험원,서울특별시 성북구 돈암동 산6-1,2025-03~2025-12,02-2241-3733,구청 홈페이지
오금공원 유아숲체험원,서울특별시 송파구 오금동 51,2025-03~2025-12,02-2147-3402,구청 홈페이지
용왕산공원 유아숲체험원,서울특별시 양천구 목동 199-51,2025-03~2025-12,02-2620-3586,구청 홈페이지
온수공원(지양산) 유아숲체험원,서울특별시 양천구 신월동 331-5,2025-03~2025-12,02-2620-3586,구청 홈페이지
계남공원(신정산) 유아숲체험원,서울특별시 양천구 신정3동 621,2025-03~2025-12,02-2620-3586,구청 홈페이지
영등포공원 유아숲체험원,서울특별시 영등포구 영등포동 582-3,2025-03~2025-12,02-2670-1656,구청 홈페이지
응봉공원 유아숲체험원,서울특별시 용산구 한남동 산8-1,2025-03~2025-12,02-2199-7622,구청 홈페이지
용마산 유아숲체험원,서울특별시 중랑구 면목동 31-25,2025-03~2025-12,02-2094-2394,구청 홈페이지
봉화산 유아숲체험원,서울특별시 중랑구 묵동 23-4,2025-03~2025-12,02-2094-2394,구청 홈페이지
북서울꿈의숲 유아숲체험원,서울특별시 강북구 월계로 173,2025-03~2025-12,02-2289-4051,서울시청 홈페이지
한남 유아숲체험원,서울특별시 용산구 한남동 772-1,2025-03~2025-12,02-3783-5994,서울시청 홈페이지
우장산 유아숲체험원,서울특별시 강서구 내발산동 산19-1,2025-03~2025-12,02-2600-4289,구청 홈페이지
노원골 유아숲체험원,서울특별시 노원구 상계동 산59-2,2025-03~2025-12,02-2116-0546,구청 홈페이지
하늘 유아숲체험원,서울특별시 도봉구 쌍문동 산247,2025-03~2025-12,02-2091-3785,구청 홈페이지
둘리 유아숲체험원,서울특별시 도봉구 쌍문동 산82,2025-03~2025-12,02-2091-3785,구청 홈페이지
반딧불이 유아숲체험원,서울특별시 도봉구 창동 677,2025-03~2025-12,02-2091-3785,구청 홈페이지
꿈키움 유아숲체험원,서울특별시 도봉구 창동 산194-2,2025-03~2025-12,02-2091-3785,구청 홈페이지
장지공원 유아숲체험원,서울특별시 송파구 장지동 851,2025-03~2025-12,02-2147-3402,구청 홈페이지
비단산 유아숲체험원,서울특별시 은평구 신사동 98-46 ,2025-03~2025-12,02-351-8032,구청 홈페이지
서오릉 유아숲체험원,서울특별시 은평구 진관동 390,2025-03~2025-12,02-351-8032,구청 홈페이지
숭인공원 유아숲체험원,서울특별시 종로구 숭인동 58-70,2025-03~2025-12,02-2148-2872,구청 홈페이지
아콘유아숲체험원,인천광역시 계양구 임학동 산3-5,연중,032-552-3355,전화
오봉산유아숲체험원,인천광역시 남동구 논현동 322-5,연중,032-425-3600,전화/홈페이지
아름 유아숲체험원,인천광역시 남동구 수산동 41-3,연중,,전화
석모도자연휴양림 유아숲체험원,인천광역시 강화군 삼산면 석모리 산154-1,2025-03~2025-11,032-932-5432,전화
전재울근린공원 유아숲체험원,인천광역시 남동구 구월동 1501,2025-03~2025-11,032-453-6143,전화/홈페이지
남동문화근린공원 유아숲체험원,인천광역시 남동구 구월동 620-13,2025-03~2025-11,032-453-6143,전화
논현중앙근린공원,인천광역시 남동구 논현동 611-7,2025-03~2025-11,032-453-6143,전화
논현포대근린공원 유아숲체험원,인천광역시 남동구 논현동 648-1,2025-03~2025-11,032-453-6143,전화
늘솔근린공원 유아숲체험원,인천광역시 남동구 논현동 738-8,2025-03~2025-11,032-453-6143,전화/홈페이지
늘솔길근림공원 유아숲체험원,인천광역시 남동구 논현동 763-1,2025-03~2025-11,032-453-6143,전화/홈페이지
서창근린공원 유아숲체험원,인천광역시 남동구 서창동 558-1,2025-03~2025-11,032-453-6143,전화
도란도란 유아숲체험원,인천광역시 남동구 장수동 246,2025-03~2025-12,032-440-5852,홈페이지
인천수목원 유아숲체험원,인천광역시 남동구 장수동 272,2025-03~2025-12,032-440-5852,홈페이지
송현공원 유아숲체험원,인천광역시 동구 송현동 162,2025-03~2025-11,032-770-6203,홈페이지
수봉공원 유아숲체험원,인천광역시 미추홀구 숭의동 9-1,2025-03~2025-11,032-880-5924,홈페이지
원적산공원 유아숲체험원,인천광역시 부평구 청천동 71-12,2025-03~2025-11,032-440-5876,홈페이지
서곶근린공원 유아숲체험원,인천광역시 서구 심곡동 산14-1,2025-03~2025-11,032-560-4790,전화
가원 유아숲체험원,인천광역시 서구 원창동 512,2025-03~2025-11,032-560-4790,전화
동춘 유아숲체험원,인천광역시 연수구 동춘동 산55-45,2025-03~2025-11,032-749-8713,전화
대학공원 유아숲체험원,인천광역시 연수구 연수동 580,2025-03~2025-11,032-749-8713,전화
유수지공원 유아숲체험원,인천광역시 중구 운서동 2746-4,2025-04~2025-12,032-760-7779,전화/홈페이지
두드림 유아숲체험원,인천광역시 중구 운서동 2746-4,2025-03~2025-11,032-760-7779,전화/홈페이지
젓개농장공원 유아숲체험원,인천광역시 중구 운서동 3020-1,2025-03~2025-11,032-760-7779,전화
발트킨더 유아숲체험원,경기도 김포시 하성면 후평리 210-5,연중,031-980-2369,전화
양평 유아숲체험원,경기도 양평군 양평읍 쉬자파크길 193,2025-02~2025-11,070-7716-6012,전화/홈페이지
남양 유아숲체험원,경기도 화성시 남양읍 남양리 2038,2025-03~2025-11,031-5189-2344,전화/홈페이지
봉담 유아숲체험원,경기도 화성시 봉담읍 동화리 587번지,2025-03~2025-11,031-5189-2344,전화/홈페이지
동탄 알콩달콩 유아숲체험원,경기도 화성시 석우동 산45번지,2025-03~2025-11,031-5189-2344,전화/홈페이지
향남4호근린 유아숲체험원,경기도 화성시 향남읍 행정리 525,2025-03~2025-11,031-5189-2344,전화/홈페이지
청성산 유아숲체험원,경기도 포천시 군내면 하성북리 610,2025-03~2025-11,031-538-2416,전화
태봉산 유아숲체험원,경기도 포천시 소흘읍 송우리 726-4,2025-03~2025-11,031-538-2416,전화
포천치유 유아숲체험원,경기도 포천시 신북면 금동리 산39,2025-03~2025-11,031-538-2416,전화
금촌 유아숲체험원,경기도 파주시 금촌동 1010,2025-03~2025-11,031-940-4650,전화
학령산 유아숲체험원,경기도 파주시 아동동 202-5번지,2025-03~2025-11,031-940-8710,전화/방문
운정 유아숲체험원,경기도 파주시 와동동 1412,2025-03~2025-11,031-940-4650,전화
탄현 유아숲체험원,경기도 파주시 탄현면 성동리 680,2025-03~2025-11,031-940-4650,전화
율곡수목원 유아숲체험원,경기도 파주시 파평면 율곡리 산5-1,2025-03~2025-11,031-940-4650,전화
이천시 유아숲체험원,경기도 이천시 모가면 어농리 871-5,2025-03~2025-11,031-645-3834,전화
오목문화 유아숲체험원,경기도 의정부시 민락동 696-1,2025-03~2025-11,031-828-4643,전화
청사초롱 유아숲체험원,경기도 의정부시 신곡동 797,2025-03~2025-11,031-828-4643,전화
바라산 유아숲체험원,경기도 의왕시 학의동 산117-1,2025-03~2025-11,031-345-3523,전화
보라 유아숲체험원,경기도 용인시 기흥구 공세동 673,2025-03~2025-11,031-324-3357~8,전화
농서 유아숲체험원,경기도 용인시 기흥구 농서동 450,2025-03~2025-11,031-324-3357~8,전화
흥덕 유아숲체험원,경기도 용인시 기흥구 영덕동 1237,2025-03~2025-11,031-324-3357~8,전화
한숲 유아숲체험원,경기도 용인시 기흥구 중동 862,2025-03~2025-11,031-324-3357~8,전화
동천 유아숲체험원,경기도 용인시 수지구 동천동 136-4,2025-03~2025-11,031-324-3357~8,전화
정암 유아숲체험원,경기도 용인시 수지구 상현동 1139,2025-03~2025-11,031-324-3357~8,전화
소실봉 유아숲체험원,경기도 용인시 수지구 상현동 1198,2025-03~2025-11,031-324-3357~8,전화
죽전 유아숲체험원,경기도 용인시 수지구 죽전동 1340,2025-03~2025-11,031-324-3357~8,전화
용인아이숲 유아숲체험원,경기도 용인시 처인구 모현면 초부로 220,2025-03~2025-11,031-324-3357~8,전화
초부리유아숲체험원,경기도 용인시 처인구 모현읍 초부리 산30-2,2025-03~2025-11,031-324-3357~8,전화
번암유아숲체험원,경기도 용인시 처인구 역북동 733,2025-03~2025-11,031-324-3357~8,전화
고인돌 유아숲체험원,경기도 오산시 금암동 수목원로 449,2025-03~2025-11,031-8036-6474,전화
문헌 유아숲체험원,경기도 오산시 내삼미동 879,2025-03~2025-11,031-8036-6474,전화
밤톨이 유아숲체험원,경기도 오산시 세교동 620번지,2025-03~2025-11,031-8036-6474,전화
은대근린공원 유아숲체험원,경기도 연천군 전곡읍 은대리 573,2025-03~2025-11,031-839-2394,전화
황학산 유아숲체험원,경기도 여주시 매룡동 산287-1,2025-03~2025-11,031-887-2744,전화/홈페이지
양평산나물공원 유아숲체험원,경기도 양평군 양평읍 도곡리 산42,2025-03~2025-11,031-770-2464,전화/방문
하늘물 유아숲체험원,경기도 양주시 고읍남로 205,2025-03~2025-11,031-8082-6204,전화
산마루 유아숲체험원,경기도 양주시 남면 신암리 산24-3,2025-03~2025-11,031-8082-6203,전화/방문
독바위 유아숲체험원,경기도 양주시 옥정동889,2025-03~2025-11,031-8082-6204,전화
불곡산 도토리 유아숲체험원,경기도 양주시 유양동 산33-1,2025-03~2025-11,031-8082-6204,전화
회암사지 유아숲체험원 ,경기도 양주시 호암동 산14-4,2025-03~2025-11,031-8082-6204,전화
만안 유아숲체험원,경기도 안양시 만안구 석수동 251-1,2025-03~2025-11,031-8045-5489,전화/방문
부곡산림욕장 유아숲체험원,경기도 안산시 상록구 부곡동 산5-1,2025-03~2025-11,031-481-2406,전화
영모재공원 유아숲체험원,경기도 시흥시 능곡동 617,2025-03~2025-11,031-310-2342,전화
소산서원 유아숲체험원,경기도 시흥시 신천동 산12,2025-03~2025-11,031-310-2342,전화
옥구공원 유아숲체험원,경기도 시흥시 정왕동 2138,2025-03~2025-11,031-310-2342,전화
다람쥐 유아숲체험원,경기도 수원시 권선구 당수동 308-1번지,2025-03~2025-11,031-228-4576,전화/홈페이지
열림공원 유아숲체험원,경기도 수원시 영통구 이의동 1180,2025-03~2025-11,031-228-4576,전화
광교중앙공원 유아숲체험원,경기도 수원시 영통구 이의동 1302번지,2025-03~2025-11,031-228-4576,전화/홈페이지
광교호수공원 유아숲체험원,경기도 수원시 영통구 하동 999,2025-03~2025-11,031-228-4576,전화/홈페이지
반딧불이 유아숲체험원,경기도 수원시 장안구 조원동 산6,2025-03~2025-11,031-228-4576,전화/홈페이지
숙지공원 유아숲체험원,경기도 수원시 화서동 산42번지,2025-03~2025-11,031-228-4576,전화/홈페이지
